Frm,Track,xc,yc,w,h,Velocity(kmph),,
11,18,2079,1012,360,104,38.21540729,,
11,8,2526,643,75,65,0,,
11,10,2692,660,90,62,1.057950546,,
11,15,3634,648,112,46,0.484886302,,
11,14,1522,1389,107,43,24.24433151,,
11,11,2309,607,95,136,2.609765841,,
11,3,2189,995,133,72,38.76301594,,
11,7,2825,648,83,61,-0.106029264,,
11,1,2402,1403,94,130,25.58595195,,
11,9,2435,516,70,62,-0.367611407,,
11,2,1822,857,136,70,37.37239235,,
11,5,2491,404,86,49,-0.210363859,,
12,12,3466,1911,176,98,2.062015341,,
12,6,2477,456,87,51,0,,
12,13,1832,1343,39,99,9.947891733,,
12,4,2392,391,82,51,0.798405482,,
12,8,2527,643,76,65,0.931938553,,
12,10,2692,660,90,61,0.790962881,,
12,15,3634,648,110,45,0.257762752,,
12,14,1527,1392,114,44,21.84062189,,
12,11,2309,607,94,136,1.643586818,,
12,3,2200,995,132,73,37.0989165,,
12,7,2826,648,83,61,0.667484923,,
12,1,2405,1412,96,130,26.39773612,,
12,9,2436,516,72,62,0.538880244,,
12,2,1834,857,135,71,37.00362591,,
12,5,2492,404,86,49,0.669245224,,
12,16,1522,1388,47,45,30.70096938,,
13,12,3468,1911,176,97,3.154248418,,
13,6,2477,456,87,50,0,,
13,13,1833,1336,39,96,12.99145973,,
13,4,2391,391,83,51,1.428212206,,
13,8,2526,643,76,65,1.616248633,,
13,10,2692,660,90,61,0.591589365,,
13,15,3631,646,106,42,3.744623066,,
13,14,1532,1394,124,44,19.69325404,,
13,11,2310,608,93,136,2.165143192,,
13,3,2212,995,132,73,36.72046493,,
13,7,2826,648,83,61,0.378280355,,
13,1,2408,1420,97,130,26.16989314,,
13,9,2436,516,72,62,0.34502558,,
13,2,1846,857,136,71,36.7139773,,
13,5,2492,404,86,49,0.454560626,,
13,16,1529,1390,47,45,26.85549723,,
14,12,3468,1910,177,96,3.168826547,,
14,6,2477,456,88,50,0,,
14,13,1833,1331,38,92,13.61376273,,
14,4,2391,391,83,51,1.092953352,,
14,8,2526,644,76,65,2.127749821,,
14,10,2692,661,90,61,1.249628048,,
14,15,3631,646,105,40,2.8694703,,
14,14,1540,1395,126,43,20.25728331,,
14,11,2310,608,93,137,1.422574489,,
14,3,2224,995,133,73,36.42341831,,
14,7,2826,648,83,61,0.164395653,,
14,1,2411,1428,94,130,25.98810281,,
14,9,2436,516,73,62,0.20042498,,
14,2,1858,858,134,70,36.51481693,,
14,5,2492,404,86,49,0.293445612,,
14,16,1541,1392,45,44,32.19746499,,
15,12,3468,1910,176,95,2.414739834,,
15,6,2478,456,88,50,0.761658391,,
15,13,1834,1328,38,91,12.68546901,,
15,4,2391,392,83,51,1.593388214,,
15,8,2526,644,75,65,1.753629686,,
15,10,2691,660,90,61,2.071827433,,
15,15,3631,647,106,42,3.077964542,,
15,14,1554,1397,115,45,25.34484962,,
15,11,2310,609,93,137,1.618096841,,
15,3,2237,995,132,72,36.94736158,,
15,7,2825,648,83,61,0.766048204,,
15,1,2413,1437,94,130,26.35463835,,
15,9,2436,516,73,62,0.091136519,,
15,2,1871,859,135,70,37.10899149,,
15,5,2491,404,86,49,0.932459275,,
15,16,1549,1395,46,45,30.28085463,,
16,12,3469,1911,176,97,2.836809744,,
16,6,2478,456,88,50,0.640404809,,
16,13,1835,1324,39,91,12.63749347,,
16,4,2391,391,83,51,1.985656337,,
16,8,2526,643,75,65,2.171308412,,
16,10,2691,661,90,61,2.416676682,,
16,15,3632,647,107,42,3.226254749,,
16,14,1563,1399,108,45,25.8173175,,
16,11,2310,610,93,136,1.780529751,,
16,3,2250,995,132,73,37.35260406,,
16,7,2825,648,84,61,0.524287287,,
16,1,2416,1445,94,130,26.15008535,,
16,9,2436,516,73,62,0.007789128,,
16,2,1882,859,133,70,36.09893593,,
16,5,2491,404,86,49,0.716865663,,
16,16,1559,1397,47,46,31.01791834,,
17,12,3468,1910,176,96,3.174286652,,
17,6,2478,456,88,50,0.540377569,,
17,13,1836,1322,40,92,11.30320891,,
17,4,2391,391,83,51,1.612449328,,
17,8,2527,643,75,65,2.499307332,,
17,10,2691,661,90,61,2.002309782,,
17,15,3632,647,108,42,2.570199003,,
17,14,1571,1402,106,45,25.72860539,,
17,11,2310,610,92,135,1.233768756,,
17,3,2263,996,132,72,37.69476534,,
17,7,2825,648,84,61,0.333358981,,
17,1,2419,1453,94,130,25.97926713,,
17,9,2436,516,73,62,-0.056077742,,
17,2,1894,860,134,71,35.9924301,,
17,19,3303,740,47,31,0,,
17,5,2491,404,86,49,0.543783233,,
17,16,1568,1399,44,47,30.36683898,,
18,12,3466,1911,176,98,3.982878152,,
18,6,2477,456,88,49,1.10933814,,
18,13,1836,1320,40,93,10.06094796,,
18,4,2391,391,83,51,1.305060859,,
18,8,2527,643,75,65,2.105844914,,
18,10,2691,661,90,61,1.658680886,,
18,15,3633,647,110,43,2.766018635,,
18,14,1581,1404,106,45,26.72980017,,
18,11,2310,611,91,135,1.448427042,,
18,3,2274,996,133,72,36.63324679,,
18,7,2825,648,84,60,0.18152632,,
18,1,2422,1462,95,129,26.44989327,,
18,9,2436,516,73,62,-0.105017709,,
18,2,1905,860,133,71,35.21996665,,
18,19,3307,743,43,33,14.52731807,,
18,5,2491,405,86,49,1.05601766,,
18,16,1577,1401,44,47,29.87286417,,
19,12,3468,1911,176,98,4.497835965,,
19,6,2478,456,88,50,1.575814544,,
19,13,1838,1318,39,96,9.557268323,,
19,4,2391,391,83,51,1.049432781,,
19,8,2527,643,75,65,1.77388773,,
19,10,2692,661,90,61,1.996100927,,
19,15,3633,647,110,43,2.233661305,,
19,14,1590,1407,107,45,27.10371914,,
19,11,2310,611,91,134,1.007606106,,
19,3,2288,995,133,71,37.64793349,,
19,7,2825,648,84,60,0.060312096,,
19,1,2425,1469,95,130,25.66228096,,
19,9,2436,516,73,62,-0.142304641,,
19,2,1918,860,135,70,35.82939356,,
19,19,3312,743,40,33,14.63363846,,
19,5,2491,404,86,49,1.478528717,,
19,16,1587,1402,48,48,30.25992781,,
20,12,3468,1911,176,97,3.71725467,,
20,6,2477,456,88,50,1.960485579,,
20,13,1840,1311,40,91,11.82233508,,
20,4,2391,391,83,51,0.835180092,,
20,8,2527,643,75,65,1.49117865,,
20,10,2692,661,91,61,1.671990691,,
20,15,3632,647,109,43,2.448463819,,
20,14,1598,1410,109,47,26.83874488,,
20,11,2310,612,92,134,1.248687585,,
20,3,2300,995,134,71,37.26314932,,
20,7,2825,648,84,60,-0.036515188,,
20,1,2427,1477,95,130,25.37886817,,
20,9,2436,516,73,62,-0.170336222,,
20,2,1930,861,134,70,35.75832583,,
20,19,3316,743,36,33,12.19413114,,
20,5,2491,404,86,49,1.227571058,,
21,12,3468,1911,176,97,3.051642837,,
21,6,2477,456,88,50,1.697402213,,
21,13,1841,1306,41,89,12.47020468,,
21,4,2391,391,83,52,0.65451835,,
21,8,2527,643,75,65,1.248516963,,
21,10,2693,661,92,61,1.975636672,,
21,15,3631,646,105,40,2.881247156,,
21,14,1604,1413,110,45,25.5378181,,
21,11,2311,613,92,134,1.700767553,,
21,3,2312,995,134,71,36.92978601,,
21,7,2825,648,84,60,-0.113612792,,
