Track,Srno,Initial Position [x y],Final Position[x y],Velocity,Angle,Direction
165,1.0,[1853   42],[1863   61],0.0,-62.24145939893998,SE
165,2.0,[1866   66],[1872   85],18.00330722,-72.47443162627712,S
165,3.0,[1873   89],[1882  107],13.96949878,-63.43494882292201,SE
165,4.0,[1884  112],[1894  143],14.5777487,-72.12130340415867,S
165,5.0,[1896  152],[1905  183],22.52010493,-73.81079374297306,S
165,6.0,[1907  191],[1917  221],24.86137685,-71.56505117707799,S
165,7.0,[1919  230],[1928  256],25.83416235,-70.90650799951439,S
165,8.0,[1930  262],[1939  288],22.87331803,-70.90650799951439,S
165,9.0,[1941  295],[1949  322],21.22720297,-73.49563861824498,S
165,10.0,[1951  328],[1960  351],20.41206673,-68.62937773065681,S
165,11.0,[1963  357],[1974  382],18.76820412,-66.25050550713324,SE
165,12.0,[1977  387],[1988  410],18.5635577,-64.4400348281762,SE
165,13.0,[1991  416],[2001  440],18.33864464,-67.38013505195957,SE
165,14.0,[2004  445],[2016  466],18.23435808,-60.25511870305778,SE
165,15.0,[2018  472],[2030  493],17.8601063,-60.25511870305778,SE
165,16.0,[2034  498],[2046  519],17.64894614,-60.25511870305778,SE
165,17.0,[2050  524],[2063  543],17.67159795,-55.619655276155136,SE
165,18.0,[2066  548],[2080  570],17.10927143,-57.52880770915151,SE
165,19.0,[2083  575],[2099  595],17.92917803,-51.34019174590991,SE
165,20.0,[2103  600],[2120  620],18.56556382,-49.635463426902646,SE
165,21.0,[2124  625],[2142  645],19.0856769,-48.01278750418334,SE
165,22.0,[2147  650],[2165  669],19.85577417,-46.548157698977974,SE
165,23.0,[2170  675],[2189  693],20.3410012,-43.45184230102203,SE
165,24.0,[2194  698],[2215  715],20.23161722,-38.99099404250548,SE
165,25.0,[2221  719],[2243  735],20.39632698,-36.02737338510361,SE
165,26.0,[2249  740],[2270  755],20.77671906,-35.53767779197438,SE
165,27.0,[2276  758],[2300  772],19.90071992,-30.256437163529263,SE
165,28.0,[2306  776],[2330  790],20.2177977,-30.256437163529263,SE
165,29.0,[2336  793],[2363  806],20.18823178,-25.709953780811265,SE
165,30.0,[2369  809],[2395  822],20.87229615,-26.56505117707799,SE
165,31.0,[2403  824],[2429  835],21.62725007,-22.932100437589785,SE
165,32.0,[2436  838],[2464  849],21.52976643,-21.44773632710535,E
165,33.0,[2472  851],[2502  862],22.2537636,-20.136303428248137,E
165,34.0,[2509  864],[2540  873],22.9483238,-16.189206257026942,E
165,35.0,[2548  876],[2580  883],23.89387635,-12.339087278326195,E
165,36.0,[2588  885],[2620  892],24.35305865,-12.339087278326195,E
165,37.0,[2628  894],[2663  901],24.52910275,-11.309932474020213,E
165,38.0,[2671  902],[2706  908],25.37756783,-9.727578551401603,E
165,39.0,[2715  910],[2751  916],26.17919747,-9.462322208025617,E
165,40.0,[2760  917],[2796  921],26.76643357,-6.34019174590991,E
165,41.0,[2806  922],[2844  926],27.36031406,-6.009005957494525,E
165,42.0,[2854  927],[2894  931],28.34900548,-5.710593137499642,E
165,43.0,[2904  931],[2944  934],29.44555508,-4.289153328819018,E
165,44.0,[2955  935],[2997  937],30.28995603,-2.7263109939062655,E
165,45.0,[3007  938],[3051  941],30.8998,-3.90049374238189,E
165,46.0,[3062  941],[3107  943],32.1736906,-2.5448043798130953,E
165,47.0,[3118  943],[3164  945],33.08999099,-2.489552921999156,E
165,48.0,[3175  945],[3222  946],33.73072374,-1.2188752351312977,E
165,49.0,[3234  947],[3282  948],34.73206452,-1.193489423982035,E
165,50.0,[3294  948],[3342  949],35.40351828,-1.193489423982035,E
165,51.0,[3353  950],[3404  952],35.10585616,-2.2457425658950716,E
165,52.0,[3416  952],[3466  954],36.37375203,-2.2906100426385296,E
165,53.0,[3479  954],[3530  955],37.08269225,-1.123302714075429,E
165,54.0,[3542  956],[3596  957],37.17613711,-1.0609116902642277,E
165,55.0,[3610  958],[3664  959],38.98503351,-1.0609116902642277,E
165,56.0,[3678  959],[3730  962],39.9299553,-3.3018656744350032,E
165,57.0,[3738  962],[3765  964],36.44547115,-4.23639479905884,E
165,58.0,[3771  964],[3799  964],24.17702176,0.0,E
165,59.0,[3807  964],[3832  964],19.18143116,0.0,E
