Track,Srno,Initial Position [x y],Final Position[x y],Velocity,Angle,Direction
1,1.0,[2373 1324],[2384 1356],0.0,-71.02959219151346,S
1,2.0,[2387 1363],[2398 1395],25.49540046,-71.02959219151346,S
1,3.0,[2402 1403],[2413 1437],25.58595195,-72.07208023799276,S
1,4.0,[2416 1445],[2427 1477],26.15008535,-71.02959219151346,S
1,5.0,[2430 1485],[2441 1520],25.31023169,-72.5528115767178,S
1,6.0,[2444 1528],[2453 1560],26.06875388,-74.29136217098426,S
1,7.0,[2456 1569],[2467 1603],25.49284231,-72.07208023799276,S
1,8.0,[2470 1611],[2480 1644],25.76796532,-73.14160123226172,S
1,9.0,[2482 1651],[2492 1685],24.83059848,-73.61045966596522,S
1,10.0,[2495 1693],[2505 1728],25.09569222,-74.05460409907715,S
1,11.0,[2508 1736],[2518 1771],25.73977904,-74.05460409907715,S
1,12.0,[2520 1780],[2529 1814],26.45018575,-75.17352002964434,S
1,13.0,[2531 1822],[2540 1858],25.93328591,-75.96375653207353,S
1,14.0,[2543 1867],[2553 1903],26.71531867,-74.47588900324574,S
1,15.0,[2555 1911],[2565 1948],26.84263468,-74.87599269168945,S
1,16.0,[2567 1957],[2577 1994],27.58339254,-74.87599269168945,S
1,17.0,[2580 2004],[2590 2040],28.4813009,-74.47588900324574,S
1,18.0,[2593 2050],[2604 2088],28.52194622,-73.85566121971652,S
1,19.0,[2608 2095],[2615 2115],28.00180112,-70.70995378081128,S
